
[09:22:14] [spidy] [WORKER #0] [INIT] [INFO]: Creating variables...
[09:22:38] [bs4] [WORKER #0] [INIT] [INFO]: Starting scraping with BeautifulSoup
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-students-campus-services.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-events.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-rolebased-nav.min.027ade49f4881d31e7d0d169d2cfc2c5.js.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-img-icons-social-media-linkedin-burgundy.png.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-events-cancelled-classes.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-cuevents-offices-provost-fourth-space-programming-2023-01-16-role-of-ai-in-life-science-researchc=-ginacody.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-content-concordia-en-ginacody-_jcr_content-content-main-box-box-parsys-grid_container-grid-container-parsys-card-adaptiveimage.img.620.medium.jpg-1651089434068.jpg.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-cunews-encs-aerospace-2021-12-14-new-aerospace-centre.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-cuevents-offices-provost-ssc-2022-12-21-student-service-stationc=-ginacody.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-research-fellowships.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-news-notices.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-web-privacy.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-news.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-students-services.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-img-icons-social-media-instagram-multi-color.png.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-cuevents-offices-vprgs-sgs-2023-01-17-phd-oral-exam-oussama-jebbar-software-engineeringc=-ginacody.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-about-leadership.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-news-newsletter.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-site-search.min.39b6ae5b60be45d9d7656fa3eb4a4302.js.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-news-news-list.min.e6d88320fbfcb3fc95f352679ee2d04b.css.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-finearts.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-cuevents-offices-vprgs-sgs-2022-12-21-phd-oral-exam-jad-sadek-mechanical-engineeringc=-ginacody.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-academics-undergraduate-calendar.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-footer.min.9baa888820b6d76330c3e27ab0105455.js.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc.clientlibs-foundation-clientlibs-main.min.8740313cfaa7a4341e8404504806dd4e.js.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-news-stories-2022-12-07-concordia-engineering-grad-students-evaluate-the-famous-canada-pavilion-at-parc-jean-drapeauc=-ginacody.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-research-chairs.html
[09:22:38] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-about-strategic-plan.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc.clientlibs-clientlibs-granite-utils.min.4a192b590a2c2926fb000264370c0588.js.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-hub-sign-in.min.9fe2e3e378e7774e2cc69a163b850799.css.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-programs-undergraduate.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-news-stories-2022-04-04-concordias-next-generation-cities-institute-welcomes-seven-new-partner-organizations.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-students-academic-services-undergraduate-course-sequences.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-cunews-offices-advancement-2022-12-12-get-into-the-spirit-of-giving-with-our-alumni-holiday-gift-guidec=-ginacody.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc.clientlibs-foundation-clientlibs-jquery.min.dd9b395c741ce2784096e26619e14910.js.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-about-departments.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-about-faculty-members.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-content-concordia-en-ginacody-_jcr_content-content-main-box-box-parsys-grid_container-grid-container-parsys-card_2038328718-adaptiveimage.img.620.medium.jpg-1651089679338.jpg.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-programs-co-op.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-artsci.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody--www.googletagmanager.com-nsid=GTM-57BSZT.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-coronavirus.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-web-terms.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-search.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-site-search.min.8f4bda32a7be15015dc232e79eac1d25.css.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-students-academic-services.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-news-news-list.min.64a4d26a2cbaae4123e8e5e17037c94f.js.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-img-icons-social-media-twitter-multi-color.png.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-news-archive.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-img-next_gen_now.png.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-jmsb.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-events-academic-dates.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-alumni.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-quick-links.min.d3dfaa778ff5216c2c0761869e1a07b9.js.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-jquery-cookie.min.a67d659f582bf93e1d8156fc182326f5.js.html
[09:22:39] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-students-visiting-exchange.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-about-jobs.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-cuevents-offices-provost-ssc-2023-01-11-student-service-stationc=-ginacody.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-img-icons-social-media-instagram-burgundy.png.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-health-mental-health.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc.clientlibs-clientlibs-granite-jquery.min.cee8557e8779d371fe722bbcdd3b3eb7.js.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-students-services-academic.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc.clientlibs-clientlibs-granite-jquery-granite.min.543d214c88dfa6f4a3233b630c82d875.js.html
